Logged in ftmon_202008300439.csv
epoch [s], CPU usage [%], Clock [MHz], Tdie [C], Tgpu_edge [C], Tgpu_junc [C], Tsys [C], Power [W]
1598729958.939539168,0,2199.4025156249995,33.25,37,37,32,39.901
1598729959.993634031,.100,2199.9065312500006,33.5,38,38,32,44.103
1598729961.057675355,0,2199.867328125,33.625,37,37,32,42.373
1598729962.118138160,.100,2199.9106250000004,33.625,37,37,32,40.832
1598729963.187915008,0,2199.9054843749996,33.5,37,37,32,39.890
1598729964.247608489,0,2188.1200781250004,33.5,37,37,32,42.804
1598729965.307713106,0,2199.8749999999995,33.5,37,37,32,39.316
1598729966.527858917,.400,2199.8717968749997,33.5,38,38,32,41.361
1598729967.587799118,0,2199.8724531250004,33.5,37,37,32,41.281
1598729968.647560435,0,2199.8935625,33.5,37,37,32,41.673
1598729969.718077688,0,2199.8023750000007,33.5,38,38,32,39.140
1598729970.767415944,.300,2199.8705468749995,33.5,37,37,32,41.015
1598729971.949555316,0,2199.850281250001,33.5,37,37,32,39.898
1598729972.998137405,.100,2193.9442812499997,33.5,37,37,32,39.759
1598729974.067970018,0,2199.8380312500003,33.5,37,37,32,40.671
1598729975.117935374,.100,2199.8900781250004,33.5,37,37,32,39.427
1598729976.177990415,0,2199.8096250000003,33.625,37,37,32,41.833
1598729977.386337979,.500,2199.8863906249994,33.5,37,37,32,39.738
1598729978.448172872,0,2199.880046875,33.625,37,37,32,41.268
1598729979.508207233,0,2199.8614062499996,33.5,37,37,32,41.662
1598729980.568017926,0,2199.80978125,33.625,37,37,32,41.586
1598729981.618580654,.300,2199.8968749999995,33.75,37,37,32,44.677
1598729982.799764685,.100,2199.8880312500005,33.75,37,37,32,39.700
1598729983.858183938,0,2199.8985781250008,33.5,37,37,32,41.770
1598729984.927045711,0,2199.8950156250003,33.5,37,37,32,41.776
1598729985.987845793,0,2199.887953125,33.5,37,37,32,41.426
1598729987.047823919,0,2199.865046875,33.5,37,38,32,39.155
1598729988.257941578,.300,2199.8852187499997,33.5,37,37,32,41.059
1598729989.317872194,0,2199.83484375,33.5,37,37,32,40.918
1598729990.368050411,0,2199.887953125,33.5,37,37,32,39.670
1598729991.428672600,0,2199.775359375,33.5,37,37,32,38.906
1598729992.478227118,.100,2199.907906250001,33.75,37,37,32,42.314
1598729993.546931279,0,2191.446875,33.75,37,37,32,41.720
1598729994.597509534,0,2190.5341718749996,33.625,37,37,32,42.776
1598729995.656926134,0,2199.88996875,33.625,38,38,32,41.912
1598729996.718156345,.100,2199.8875312500004,33.75,37,37,32,41.409
1598729997.778645404,0,2199.8602812499994,33.5,37,37,32,38.985
1598729998.987005058,.400,2199.8865312499997,33.5,37,37,32,40.103
1598730000.047785550,0,2180.617375,33.5,37,37,32,39.701
1598730001.097719989,0,2199.85678125,33.5,37,37,32,40.841
1598730002.158319926,0,2199.87546875,33.5,37,37,32,41.432
