Logged in ftmon_202008300614.csv
epoch [s], CPU usage [%], Clock [MHz], Tdie [C], Tgpu_edge [C], Tgpu_junc [C], Tsys [C], Power [W]
1598735663.071290338,0,2199.839109375,34.75,40,41,37,39.180
1598735664.127462721,0,2199.8329531250006,34.75,40,40,37,40.318
1598735665.180593318,0,2199.849484375,34.75,40,40,37,43.032
1598735666.231660244,.300,2199.8585468750002,34.75,40,40,37,40.895
1598735667.414695377,.100,2199.8074375000006,34.75,40,40,37,40.909
1598735668.461393707,.100,2199.7395468749996,34.75,40,40,37,41.696
1598735669.521792158,0,2199.8603125,34.875,40,40,37,42.219
1598735670.581517426,0,2199.869624999999,34.875,40,41,37,45.546
1598735671.641849433,0,2199.8415624999993,34.75,40,40,37,42.331
1598735672.851312237,.500,2199.8566875000006,34.75,40,40,37,40.800
1598735673.911695180,0,2199.77140625,34.75,40,40,37,42.217
1598735674.961648399,0,2199.8616406249994,34.75,40,40,37,42.256
1598735676.021464425,0,2199.8401718749997,34.75,40,40,37,41.912
1598735677.072001900,.300,2199.8634687499994,34.625,40,40,37,42.242
1598735678.254225816,.100,2199.8760468750006,34.625,40,40,37,40.352
1598735679.311932405,0,2199.8579375000004,34.75,40,41,37,42.223
1598735680.371420798,0,2179.413765625,34.75,40,40,37,42.365
1598735681.422588134,75.500,3993.766609375,70,41,41,35,241.727
1598735682.732361090,100.000,3973.29703125,69.125,41,41,35,271.481
1598735683.982847546,99.900,3984.545140625001,69.875,40,40,35,279.680
1598735685.238299984,99.900,3967.318687500001,70.5,40,41,35,291.923
1598735686.585116622,100.000,3957.2984218750003,71.25,40,40,35,259.660
1598735687.803057304,99.900,3974.9884218750003,72.25,40,40,35,281.608
1598735689.121937609,100.000,3962.7481093749984,72.25,40,40,35,276.636
1598735690.399262337,99.900,3963.9741562500003,72.375,40,40,35,292.627
1598735691.726565632,99.900,3971.2354687500006,72.75,40,40,36,272.545
1598735692.987958082,99.800,4001.854484375,73.25,40,40,36,276.347
1598735694.216594885,99.900,3980.928765625,73.5,40,40,36,282.584
1598735695.449992300,99.900,3985.014328125001,73.5,40,40,36,278.312
1598735696.700217738,99.900,3970.4356249999996,73.625,40,40,36,275.020
1598735697.987258311,100.000,3969.8678124999997,73.625,40,40,36,289.767
1598735699.240639561,99.900,3972.100109375002,73.75,40,40,36,271.415
1598735700.480268717,99.900,3977.1856562500006,73.75,40,40,36,278.264
1598735701.713100206,99.800,3978.57046875,74.375,40,40,36,285.255
1598735702.945807375,99.900,3958.041015624999,74.625,40,40,36,276.201
1598735704.171353989,100.000,3986.8352656250017,74.75,40,40,36,286.035
1598735705.427628973,99.700,3972.0542968750005,75.25,40,40,36,288.403
1598735706.773626517,99.900,3962.8946718749985,75,39,40,36,280.618
1598735708.017599433,99.900,3965.663171875001,74.75,39,40,36,263.338
1598735709.263265588,100.000,3966.046374999999,74.75,39,40,36,291.543
1598735710.533088849,99.900,3982.4455625000005,75.125,40,40,36,270.066
1598735711.815345040,99.900,3976.4209531250012,75.5,39,39,36,293.514
1598735713.164262771,100.000,3963.6977187500006,75.625,40,40,36,265.885
1598735714.435203652,100.000,3971.6952187499996,75.625,39,39,36,288.358
1598735715.725492455,100.000,3975.91021875,76.125,39,39,36,281.906
1598735717.041575351,99.900,3972.642359375,76,39,39,36,272.105
1598735718.192177698,100.000,3961.153671875001,75.625,39,39,36,287.136
1598735719.464659679,100.000,3949.5590000000007,75.375,39,39,36,275.274
1598735720.747125295,99.900,3963.1698281249996,75.375,39,39,36,272.451
1598735721.988750409,99.900,3958.8411250000004,74.625,39,39,36,284.607
1598735723.238125652,100.000,3958.283843749999,74.5,39,39,36,281.469
1598735724.525123057,99.900,3961.283218750001,74.5,39,39,36,278.903
1598735725.773034981,99.900,3972.3859687499994,74.5,39,39,36,293.696
1598735727.113113542,100.000,3965.5222656250007,74.75,39,39,36,275.802
1598735728.411851394,99.900,3969.3275625,75.5,39,39,36,283.704
1598735729.744529836,99.900,3961.606203124999,75.625,38,39,36,268.517
1598735730.952911001,100.000,3977.9833125000005,75.75,38,39,36,278.278
1598735732.175502735,99.900,3970.184328125,75.75,39,39,36,290.840
1598735733.465956794,99.900,3944.2928281249997,76.25,39,39,36,269.712
1598735734.728515937,99.900,3960.839343749999,76.25,38,39,36,292.713
1598735736.105577140,100.000,3946.945124999999,76.375,38,39,36,265.344
1598735737.380984456,100.000,3945.4492812500007,76.125,38,39,36,288.023
1598735738.664583467,99.700,3963.012296875,76.375,39,39,36,276.157
1598735739.928281367,99.900,3958.325140625,76.875,38,38,36,273.847
1598735741.207301659,99.900,3959.9937499999996,77,39,39,36,285.028
1598735742.376667661,99.900,3966.2092500000003,77.125,39,39,36,275.836
1598735743.634938742,99.900,3960.249812500001,77,39,39,36,286.389
1598735744.944548651,100.000,3968.71284375,77.125,38,38,36,286.479
1598735746.264022177,99.900,3977.9489999999996,78.125,38,38,36,281.800
1598735747.559539704,99.900,3955.13490625,78.375,38,38,36,274.697
1598735748.827628148,99.900,3963.8395312499997,78,38,38,36,287.049
1598735750.158556497,100.000,3961.8084218749987,78,38,38,36,265.287
1598735751.411779759,99.900,3964.5165937499987,78,38,38,36,281.042
1598735752.656288832,99.900,3962.6265937499998,78,38,38,36,279.199
1598735753.912107106,99.900,3964.377515625,78.125,38,38,36,285.162
1598735755.210813762,99.900,3952.5153906249993,78,38,38,36,274.017
1598735756.484147825,100.000,3968.3667031250006,77.25,38,38,36,276.401
1598735757.768619979,100.000,3967.9651406250005,77.25,38,38,36,282.729
1598735759.048217725,99.900,3968.20134375,77,38,38,36,282.709
1598735760.253199181,99.900,3949.3353125000003,77,38,38,36,289.529
1598735761.561925465,99.800,3957.7120937500017,77,38,38,36,275.776
1598735762.838501545,99.900,3940.610390624999,77.25,38,38,36,271.964
1598735764.142342275,99.900,3945.363531250001,77.25,38,38,36,283.453
1598735765.428005520,100.000,3939.75840625,76.875,38,38,36,279.210
1598735766.687295686,100.000,3954.4320312499995,76.75,38,38,36,286.365
1598735767.965809993,99.900,3954.7859843749984,76.75,38,38,36,281.855
1598735769.307544504,100.000,3959.3088281249993,76.75,38,38,36,271.267
1598735770.547013612,99.900,3940.818734375,76.125,38,38,36,293.448
1598735771.887440586,99.900,3952.899250000001,76.125,38,38,36,265.267
