Logged in ftmon_202008271818.csv
epoch [s], CPU usage [%], Clock [MHz], Tdie [C], Tgpu_edge [C], Tgpu_junc [C], Tsys [C], Power [W]
1598519903.009201201,.100,2200.355468749999,35.25,44,44,36,46.986
1598519904.072507910,.100,2199.8710781249997,35.375,44,44,36,49.810
1598519905.124084934,.100,2199.87346875,35.25,44,44,36,44.506
1598519906.183064708,.100,2199.898125,35.25,43,44,36,51.395
1598519907.234081120,.100,2199.84471875,35.25,44,44,36,50.263
1598519908.443898384,.400,2199.874453125,35.25,44,44,36,45.522
1598519909.503386350,.100,2199.786812500001,35.25,44,44,36,48.351
1598519910.563705776,0,2199.8740156250005,35.25,44,44,36,48.193
1598519911.612920261,.100,2199.8444062500002,35.25,44,44,36,45.197
1598519912.663371705,.500,2199.7780625,35.25,44,44,36,47.949
1598519913.847773423,.100,2199.8307968750005,35.25,44,44,36,44.898
1598519914.903594241,.100,2191.0360000000005,35.25,44,44,36,45.217
1598519915.974841874,.100,2199.824203125,35.25,44,44,36,47.796
1598519917.023818223,0,2187.3860937499994,35.25,44,44,36,48.912
1598519918.074100442,.100,2199.8255937500007,35.25,44,44,36,47.795
1598519919.284541288,.400,2187.3721250000003,35.25,44,44,36,46.164
1598519920.353502243,.100,2199.85115625,35.375,44,44,36,49.507
1598519921.404167246,.100,2199.905828125,35.25,43,44,36,48.745
1598519922.473873079,.100,2199.871828125,35.375,44,44,36,47.718
1598519923.524026167,.100,2199.8663906250003,35.25,43,44,36,45.752
1598519924.583016472,.100,2199.727312500001,35.25,44,44,36,47.786
1598519925.633966102,.100,2199.82553125,35.25,44,44,36,45.556
1598519926.694683024,25.500,3943.6757031249995,67,43,44,36,95.752
1598519927.907895086,99.900,3988.128906249999,66.625,44,44,34,290.804
1598519929.187448324,99.900,3964.1755781249985,67.125,44,44,34,271.324
1598519930.484930794,99.900,3958.1728749999993,67.875,43,44,34,283.133
1598519931.746859013,99.900,3969.8329843749993,68.375,43,44,34,275.575
1598519933.055820604,99.900,3959.555734374999,68.75,44,44,34,281.931
1598519934.341956959,100.000,3964.336968749999,69.25,44,44,34,283.236
1598519935.663486179,99.800,3965.0529218749994,69.75,44,44,35,280.926
1598519936.905127590,100.000,3957.1345468749996,69.75,44,44,35,279.625
1598519938.176348154,100.000,3977.585828125,70.75,44,44,35,288.972
1598519939.463805242,99.900,3972.8200937499996,71.5,44,44,35,267.279
1598519940.727803621,99.900,3948.2219843750004,71.5,43,44,35,291.076
1598519941.998654662,100.000,3950.9248281249993,71.5,43,43,35,272.094
1598519943.207508388,99.900,3931.8577031249997,71.5,43,43,35,278.620
1598519944.468808238,99.900,3956.9255624999996,71.625,43,44,35,276.839
1598519945.708265849,99.900,3936.2300468749995,71.875,43,43,36,293.667
1598519946.998997197,100.000,3943.9496406249987,72.25,43,43,36,267.872
1598519948.271387838,99.900,3941.7960468750007,72.25,44,44,36,282.139
1598519949.519329355,99.900,3932.4969374999982,72.25,43,44,36,283.361
1598519950.749401605,99.900,3930.648140625001,72.25,43,43,37,271.792
1598519951.979177558,99.900,3946.303859375002,72.5,43,43,37,288.237
1598519953.223222091,99.900,3945.5025624999994,73.125,43,43,37,280.657
1598519954.459271645,100.000,3929.785109375,73.25,43,44,37,275.645
1598519955.732043567,99.900,3947.867640625,73.625,43,43,37,298.326
1598519957.007179666,99.900,3932.8649375000005,73.75,44,44,37,256.901
1598519958.232344985,99.800,3959.080687500001,73.75,43,43,37,288.421
1598519959.526076770,99.800,3935.008984374999,74,43,43,37,289.146
1598519960.807879498,99.900,3943.522125,74,43,43,37,269.754
1598519962.118379537,99.900,3943.119390625001,74.5,43,43,37,279.464
1598519963.285571609,99.900,3932.9699062500003,74.75,43,43,38,280.894
1598519964.561903795,99.900,3938.4591250000008,74.75,43,43,38,273.564
1598519965.787353392,99.900,3932.210031250001,74.875,43,43,38,284.919
1598519967.037440061,100.000,3929.7200000000016,74.875,43,43,38,287.362
1598519968.371291179,99.900,3938.8213906249994,74.5,43,43,38,272.672
1598519969.611766714,99.900,3944.497578125,74.625,43,43,38,273.782
1598519970.796491080,99.800,3944.1099843749994,75,43,43,39,297.546
1598519972.051627430,99.900,3906.1436562499985,75,43,43,39,272.394
1598519973.327327442,100.000,3942.6641093750013,74.375,43,43,39,282.895
1598519974.618529334,99.900,3937.4120625,74.625,43,43,39,269.542
1598519975.855142154,99.900,3947.533109374999,74.625,43,43,39,297.988
1598519977.157159965,99.800,3942.991171874999,75,43,43,39,263.405
1598519978.406924496,100.000,3933.4999687499994,75,43,43,39,284.098
1598519979.669339116,99.900,3932.3287656250004,75.625,43,43,39,277.001
1598519980.904445279,99.900,3922.3886562499997,76.125,43,43,40,279.970
1598519982.197235867,99.900,3950.324,76.25,43,43,40,284.793
1598519983.401390868,99.900,3937.260109375001,76.25,43,43,40,279.269
1598519984.677345303,99.900,3951.848546875002,76.5,43,43,40,287.237
1598519985.908358409,99.900,3950.6277968750005,77,43,43,40,279.541
1598519987.183781425,99.900,3944.106453125,76.625,43,43,40,289.317
1598519988.551965088,99.900,3938.0747656249996,76,43,43,40,262.789
1598519989.722899770,99.900,3944.7470468750007,75.625,43,43,40,290.778
1598519991.033320387,99.900,3944.7645624999996,75.875,43,43,40,268.138
1598519992.374136175,100.000,3935.9756875000003,76,43,43,41,298.203
1598519993.725717974,100.000,3932.746562500001,76.375,43,43,41,264.745
1598519994.996790453,99.900,3909.6578437499993,76.25,43,43,41,289.678
1598519996.305150604,99.900,3924.3786875000005,76.25,43,43,41,267.281
1598519997.592919179,99.900,3945.186640624999,76.5,43,43,41,288.287
1598519998.876218405,100.000,3931.186125,76.75,43,43,41,273.169
1598520000.120195886,99.800,3921.139624999999,76.75,43,43,42,281.582
1598520001.361125690,99.900,3931.5942031249992,76.75,43,43,42,285.874
1598520002.619826169,99.900,3937.120921875001,76.875,42,43,42,278.264
1598520003.846318463,99.900,3936.399484375,76.75,43,43,42,273.510
1598520005.081494437,99.900,3941.2546406249994,76.625,43,43,42,282.889
1598520006.337904160,99.900,3942.3990624999997,76.625,43,43,42,280.352
1598520007.635406875,99.900,3914.159718749999,76.625,43,43,41,276.219
1598520008.894972062,99.900,3913.4344218749993,76.75,43,43,41,278.750
1598520010.108802376,99.900,3923.920296874999,76.625,43,43,43,284.650
1598520011.425365713,99.900,3932.0388281249993,76.875,43,43,43,281.990
1598520012.686431211,100.000,3943.9673750000006,76.875,43,43,43,276.214
1598520013.932961213,99.900,3919.2293906249997,77,43,43,43,282.122
1598520015.216302970,99.800,3922.3961562500003,77.25,43,43,43,277.513
1598520016.442936448,99.900,3925.357937499999,77.25,43,43,43,280.986
1598520017.714535761,100.000,3922.9638750000004,78.125,43,43,43,281.836
1598520019.009335757,99.900,3936.94678125,78.25,43,43,43,278.731
1598520020.192364782,99.900,3940.8472968750007,78.5,42,43,42,281.652
1598520021.386539240,100.000,3944.503390625001,78.5,43,43,42,273.613
1598520022.602600056,99.900,3911.657390625,78.625,42,43,44,285.735
1598520023.883557420,99.900,3911.767203124999,78.25,43,43,44,277.387
1598520025.095105426,99.900,3925.708437500001,78.125,42,43,43,284.949
1598520026.358975793,99.900,3927.8852812499995,78,43,43,43,274.027
